user_id;follower_count;following_count;like_count;retweet_count;Num_Syllables;id;Avg_Syllables;Avg_Words_in_Sentences;Flesh-Kincaid;Num_Big_words;Num_Long_Sentences;Num_Sentences;Num_Short_Sentences;Num_Urls;Num_words;Rate_Adv_adj;class
487118986;12616791;61;37;11;43;59;2.15;19;17.58;5;0;1;0;1;20;0.1;real
487118986;12616791;61;68;21;39;60;1.8571428571;20;14.5142857143;6;0;1;0;1;21;0.0952380952;real
487118986;12616791;61;23;2;49;61;2.45;19;21.12;6;0;1;0;1;20;0.15;real
487118986;12616791;61;23;4;46;62;2.5555555556;17;21.5855555556;7;0;1;0;1;18;0.0555555556;real
487118986;12616791;61;77;43;42;63;2.1;19;16.99;8;0;1;0;1;20;0.05;real
487118986;12616791;61;82;36;43;64;1.9545454545;11;11.7636363636;6;0;2;0;1;22;0;real
487118986;12616791;61;137;57;56;65;2.5454545455;4.4;16.1623636364;7;0;5;3;1;22;0.0909090909;real
487118986;12616791;61;22;5;36;66;1.8;19;13.45;7;0;1;0;1;20;0.05;real
487118986;12616791;61;63;11;47;67;2.2380952381;7.3333333333;13.5495238095;8;0;3;3;1;21;0.0952380952;real
487118986;12616791;61;47;14;42;68;2.2105263158;6.3333333333;12.9642105263;8;0;3;2;1;19;0.1578947368;real
487118986;12616791;61;91;32;39;69;1.8571428571;20;14.5142857143;6;0;1;0;1;21;0.1428571429;real
487118986;12616791;61;183;51;13;70;1625;7;6705;2;0;1;1;1;8;0;real
487118986;12616791;61;36;13;48;71;2.8235294118;16;24.3576470588;9;0;1;0;1;17;0.0588235294;real
487118986;12616791;61;29;8;50;72;2.6315789474;6.3333333333;17.9326315789;8;0;3;2;1;19;0.0526315789;real
487118986;12616791;61;33;7;33;73;2.2;13;16.22;7;0;1;0;2;15;0.0666666667;real
487118986;12616791;61;41;13;39;74;1.7727272727;21;13.9081818182;6;0;1;0;1;22;0.0454545455;real
487118986;12616791;61;65;26;53;75;2.7894736842;18;24.7357894737;6;0;1;0;1;19;0.0526315789;real
487118986;12616791;61;11;6;38;76;2.1111111111;17;16.3411111111;9;0;1;0;1;18;0.1111111111;real
487118986;12616791;61;27;10;37;77;1.6086956522;22;12.3626086957;5;0;1;0;1;23;0.1304347826;real
487118986;12616791;61;29;8;44;78;2.9333333333;7;21.9483333333;7;0;2;1;1;15;0;real
